"TF","TargetGene"
"Stat1(+)","Oasl1"
"Stat1(+)","Oas2"
"Stat1(+)","Oas3"
"Stat1(+)","Oas1c"
"Stat1(+)","Oas1g"
"Stat1(+)","Oas1a"
"Stat1(+)","Trafd1"
"Stat1(+)","P2rx7"
"Stat1(+)","Rnf34"
"Stat1(+)","Stx2"
"Stat1(+)","Ncf1"
"Stat1(+)","Rasa4"
"Stat1(+)","Pilrb1"
"Stat1(+)","Pilrb2"
"Stat1(+)","Micall2"
"Stat1(+)","Fscn1"
"Stat1(+)","Ccz1"
"Stat1(+)","Flt3"
"Stat1(+)","Pds5b"
"Stat1(+)","Samd9l"
"Stat1(+)","Gm20619"
"Stat1(+)","Mdfic"
"Stat1(+)","Met"
"Stat1(+)","Kcnd2"
"Stat1(+)","Zfp800"
"Stat1(+)","Lrrc4"
"Stat1(+)","Slc35b4"
"Stat1(+)","Tmem140"
"Stat1(+)","Parp12"
"Stat1(+)","4930599N23Rik"
"Stat1(+)","Mkrn1"
"Stat1(+)","Clec5a"
"Stat1(+)","Lrrc61"
"Stat1(+)","Osbpl3"
"Stat1(+)","Snx10"
"Stat1(+)","Skap2"
"Stat1(+)","Tax1bp1"
"Stat1(+)","Nod1"
"Stat1(+)","Nt5c3"
"Stat1(+)","Herc6"
"Stat1(+)","Tnip3"
"Stat1(+)","Gng12"
"Stat1(+)","St3gal5"
"Stat1(+)","Capg"
"Stat1(+)","M1ap"
"Stat1(+)","Tgfa"
"Stat1(+)","Mitf"
"Stat1(+)","Eif4e3"
"Stat1(+)","Sumf1"
"Stat1(+)","Vhl"
"Stat1(+)","Rad52"
"Stat1(+)","Usp18"
"Stat1(+)","Slc6a12"
"Stat1(+)","M6pr"
"Stat1(+)","Clec4a3"
"Stat1(+)","Clec4e"
"Stat1(+)","C1rl"
"Stat1(+)","Tpi1"
"Stat1(+)","Tapbpl"
"Stat1(+)","Kcna6"
"Stat1(+)","9330179D12Rik"
"Stat1(+)","Parp11"
"Stat1(+)","Clec2d"
"Stat1(+)","Klri1"
"Stat1(+)","Klra2"
"Stat1(+)","Magohb"
"Stat1(+)","Etv6"
"Stat1(+)","Hist4h4"
"Stat1(+)","Ptpro"
"Stat1(+)","Pyroxd1"
"Stat1(+)","Etnk1"
"Stat1(+)","Stk38l"
"Stat1(+)","Cacng8"
"Stat1(+)","Tarm1"
"Stat1(+)","Pirb"
"Stat1(+)","Lair1"
"Stat1(+)","Il11"
"Stat1(+)","Rab4b"
"Stat1(+)","Blvrb"
"Stat1(+)","1600014C10Rik"
"Stat1(+)","Zfp141"
"Stat1(+)","Tmem143"
"Stat1(+)","Saa3"
"Stat1(+)","Hps5"
"Stat1(+)","Tmem86a"
"Stat1(+)","E030018B13Rik"
"Stat1(+)","Lrrk1"
"Stat1(+)","Slco3a1"
"Stat1(+)","Anpep"
"Stat1(+)","Whamm"
"Stat1(+)","Ctsc"
"Stat1(+)","Prcp"
"Stat1(+)","Capn5"
"Stat1(+)","Acer3"
"Stat1(+)","Il18bp"
"Stat1(+)","Trim21"
"Stat1(+)","Trim34a"
"Stat1(+)","Trim5"
"Stat1(+)","Trim12a"
"Stat1(+)","Gm15133"
"Stat1(+)","Trim12c"
"Stat1(+)","Trim30a"
"Stat1(+)","Trim30d"
"Stat1(+)","1600010M07Rik"
"Stat1(+)","Adm"
"Stat1(+)","Calcb"
"Stat1(+)","Igsf6"
"Stat1(+)","Gga2"
"Stat1(+)","Il4ra"
"Stat1(+)","Il21r"
"Stat1(+)","Il27"
"Stat1(+)","Aldoa"
"Stat1(+)","Hsd3b7"
"Stat1(+)","Stx4a"
"Stat1(+)","Btbd16"
"Stat1(+)","Bnip3"
"Stat1(+)","Caly"
"Stat1(+)","Irf7"
"Stat1(+)","Slc25a22"
"Stat1(+)","Mrgprf"
"Stat1(+)","Sash1"
"Stat1(+)","Adgb"
"Stat1(+)","Shprh"
"Stat1(+)","Pde7b"
"Stat1(+)","Sgk1"
"Stat1(+)","Ncoa7"
"Stat1(+)","Ascc3"
"Stat1(+)","Pkib"
"Stat1(+)","P4ha1"
"Stat1(+)","Oit3"
"Stat1(+)","Slc29a3"
"Stat1(+)","Sgpl1"
"Stat1(+)","Hk1"
"Stat1(+)","Tet1"
"Stat1(+)","Arid5b"
"Stat1(+)","Zfp280b"
"Stat1(+)","Trpm2"
"Stat1(+)","Pfkl"
"Stat1(+)","Pdxk"
"Stat1(+)","Efna2"
"Stat1(+)","Fbxo7"
"Stat1(+)","Igf1"
"Stat1(+)","Dram1"
"Stat1(+)","Gnptab"
"Stat1(+)","Chpt1"
"Stat1(+)","Apaf1"
"Stat1(+)","Ppfia2"
"Stat1(+)","Mdm2"
"Stat1(+)","Dyrk2"
"Stat1(+)","Tmbim4"
"Stat1(+)","Tbk1"
"Stat1(+)","Usp15"
"Stat1(+)","Stat2"
"Stat1(+)","Gdf11"
"Stat1(+)","Elavl1"
"Stat1(+)","Tnfsf13b"
"Stat1(+)","Gm15319"
"Stat1(+)","Htra4"
"Stat1(+)","Tnks"
"Stat1(+)","Zdhhc2"
"Stat1(+)","Slc7a2"
"Stat1(+)","Acsl1"
"Stat1(+)","Irf2"
"Stat1(+)","Sap30"
"Stat1(+)","Galnt7"
"Stat1(+)","Ddx60"
"Stat1(+)","March1"
"Stat1(+)","Nat2"
"Stat1(+)","Slc18a1"
"Stat1(+)","Lzts1"
"Stat1(+)","D130040H23Rik"
"Stat1(+)","Arrdc2"
"Stat1(+)","Kcnn1"
"Stat1(+)","Bst2"
"Stat1(+)","Jak3"
"Stat1(+)","Hmox1"
"Stat1(+)","Tbc1d9"
"Stat1(+)","2210011C24Rik"
"Stat1(+)","Calr"
"Stat1(+)","Cyld"
"Stat1(+)","Lpcat2"
"Stat1(+)","Nlrc5"
"Stat1(+)","Ccl22"
"Stat1(+)","Usb1"
"Stat1(+)","Csnk2a2"
"Stat1(+)","Psmb10"
"Stat1(+)","Ist1"
"Stat1(+)","Mlkl"
"Stat1(+)","Cdyl2"
"Stat1(+)","A330074K22Rik"
"Stat1(+)","Cyba"
"Stat1(+)","Disc1"
"Stat1(+)","Pxk"
"Stat1(+)","Slc4a7"
"Stat1(+)","Nudt13"
"Stat1(+)","Anxa8"
"Stat1(+)","Ero1l"
"Stat1(+)","Ddhd1"
"Stat1(+)","Gch1"
"Stat1(+)","Pnp"
"Stat1(+)","Rnase6"
"Stat1(+)","Arhgef40"
"Stat1(+)","Tox4"
"Stat1(+)","Mmp14"
"Stat1(+)","Psmb11"
"Stat1(+)","Slc7a8"
"Stat1(+)","Psme1"
"Stat1(+)","Psme2"
"Stat1(+)","Rnf31"
"Stat1(+)","Ipo4"
"Stat1(+)","Gzmc"
"Stat1(+)","Phf11a"
"Stat1(+)","Phf11b"
"Stat1(+)","Phf11d"
"Stat1(+)","Phf11c"
"Stat1(+)","Setdb2"
"Stat1(+)","Gata4"
"Stat1(+)","Trim35"
"Stat1(+)","Slc25a37"
"Stat1(+)","Slc39a14"
"Stat1(+)","Lrch1"
"Stat1(+)","Lrrc63"
"Stat1(+)","Cpb2"
"Stat1(+)","Slc25a30"
"Stat1(+)","Lacc1"
"Stat1(+)","Epsti1"
"Stat1(+)","Pibf1"
"Stat1(+)","Kctd12"
"Stat1(+)","Slain1"
"Stat1(+)","Gpc5"
"Stat1(+)","Gpc6"
"Stat1(+)","Abcc4"
"Stat1(+)","Casp1"
"Stat1(+)","Casp4"
"Stat1(+)","Casp12"
"Stat1(+)","Tmem123"
"Stat1(+)","Zfp558"
"Stat1(+)","S1pr2"
"Stat1(+)","Tyk2"
"Stat1(+)","Zfp599"
"Stat1(+)","Gramd1b"
"Stat1(+)","Ubash3b"
"Stat1(+)","Dlat"
"Stat1(+)","Tnfaip8l3"
"Stat1(+)","Psma4"
"Stat1(+)","Pkm"
"Stat1(+)","Csnk1g1"
"Stat1(+)","Prtg"
"Stat1(+)","Rab27a"
"Stat1(+)","Col12a1"
"Stat1(+)","Bckdhb"
"Stat1(+)","Bcl2a1a"
"Stat1(+)","Bcl2a1b"
"Stat1(+)","Xrn1"
"Stat1(+)","Parp3"
"Stat1(+)","Uba7"
"Stat1(+)","Celsr3"
"Stat1(+)","Shisa5"
"Stat1(+)","Prss50"
"Stat1(+)","Ccrl2"
"Stat1(+)","Azi2"
"Stat1(+)","Vill"
"Stat1(+)","Scn10a"
"Stat1(+)","5830454E08Rik"
"Stat1(+)","Inpp5j"
"Stat1(+)","Upp1"
"Stat1(+)","Peli1"
"Stat1(+)","Vrk2"
"Stat1(+)","Ccdc88a"
"Stat1(+)","Fbxw11"
"Stat1(+)","Rars"
"Stat1(+)","Havcr1"
"Stat1(+)","Irgm1"
"Stat1(+)","Gm5431"
"Stat1(+)","Gm12185"
"Stat1(+)","9930111J21Rik1"
"Stat1(+)","Olfr56"
"Stat1(+)","Tgtp1"
"Stat1(+)","Tgtp2"
"Stat1(+)","Ifi47"
"Stat1(+)","Zfp62"
"Stat1(+)","Phykpl"
"Stat1(+)","Irf1"
"Stat1(+)","Tnip1"
"Stat1(+)","Galnt10"
"Stat1(+)","Larp1"
"Stat1(+)","Igtp"
"Stat1(+)","Irgm2"
"Stat1(+)","Stx8"
"Stat1(+)","Phf23"
"Stat1(+)","Cxcl16"
"Stat1(+)","Zmynd15"
"Stat1(+)","Scimp"
"Stat1(+)","Nlrp1b"
"Stat1(+)","Xaf1"
"Stat1(+)","Ankfy1"
"Stat1(+)","Camkk1"
"Stat1(+)","Itgae"
"Stat1(+)","Scarf1"
"Stat1(+)","Supt6"
"Stat1(+)","Aldoc"
"Stat1(+)","Nos2"
"Stat1(+)","Lgals9"
"Stat1(+)","Adap2"
"Stat1(+)","Tmem98"
"Stat1(+)","Ccl2"
"Stat1(+)","Ccl7"
"Stat1(+)","Ccl12"
"Stat1(+)","Ccl8"
"Stat1(+)","Rffl"
"Stat1(+)","Slfn5"
"Stat1(+)","Slfn8"
"Stat1(+)","Slfn2"
"Stat1(+)","Slfn1"
"Stat1(+)","Slfn4"
"Stat1(+)","Ccl5"
"Stat1(+)","1700125H20Rik"
"Stat1(+)","Tex14"
"Stat1(+)","Pctp"
"Stat1(+)","Nme2"
"Stat1(+)","Abi3"
"Stat1(+)","Hoxb4"
"Stat1(+)","Tbx21"
"Stat1(+)","Tbkbp1"
"Stat1(+)","Stard3"
"Stat1(+)","Igfbp4"
"Stat1(+)","Dhx58"
"Stat1(+)","Rab5c"
"Stat1(+)","Ifi35"
"Stat1(+)","Tmem106a"
"Stat1(+)","Gm11696"
"Stat1(+)","Gna13"
"Stat1(+)","Tmem104"
"Stat1(+)","Mrpl38"
"Stat1(+)","Pgs1"
"Stat1(+)","Lgals3bp"
"Stat1(+)","Sectm1a"
